mobility_pair,origin,region_origin,income_origin,destination,region_destination,income_destination,r_origin,r_mobi_origin,r_coll_origin,r_mobi,r_coll,r_coll_mobi,MRot_c,r_no_coll,r_no_coll_mobi,MRot_nc,CMR_ot,MRot_all,prop_mobi,prop_coll
RU-US,RU,Europe & Central Asia,Upper middle,US,North America,High,267511,19827,85747,4509,26463,1729,0.065336508,241048,2780,0.011532973,5.665192258,0.016855382,0.227417158,0.308617211
UK-CN,UK,Europe & Central Asia,High,CN,East Asia & Pacific,Upper middle,620073,107707,294247,4477,32363,1824,0.056360659,587710,2653,0.004514131,12.48538363,0.007220118,0.041566472,0.109985828
UK-NL,UK,Europe & Central Asia,High,NL,Europe & Central Asia,High,620073,107707,294247,4358,47233,1463,0.030974107,572840,2895,0.005053767,6.128914509,0.007028205,0.040461623,0.160521603
ES-FR,ES,Europe & Central Asia,High,FR,Europe & Central Asia,High,348691,47132,149667,4277,32909,1617,0.049135495,315782,2660,0.008423533,5.833122118,0.012265874,0.090745141,0.21988147
ES-DE,ES,Europe & Central Asia,High,DE,Europe & Central Asia,High,348691,47132,149667,4000,34000,1432,0.042117647,314691,2568,0.008160386,5.16123227,0.011471475,0.08486803,0.227170986
US-TR,US,North America,High,TR,Europe & Central Asia,Upper middle,2615677,243148,926952,3975,23424,708,0.03022541,2592253,3267,0.001260294,23.98283114,0.001519683,0.016348068,0.025269917
UK-IT,UK,Europe & Central Asia,High,IT,Europe & Central Asia,High,620073,107707,294247,3919,46406,1465,0.031569194,573667,2454,0.004277743,7.379871478,0.006320224,0.03638575,0.157711039
AT-DE,AT,Europe & Central Asia,High,DE,Europe & Central Asia,High,66139,14393,41426,3906,22306,1906,0.085447862,43833,2000,0.045627723,1.872718058,0.05905744,0.271381922,0.538454111
IT-CH,IT,Europe & Central Asia,High,CH,Europe & Central Asia,High,315823,59697,171682,3902,27613,1260,0.045630681,288210,2642,0.009166927,4.977751184,0.012355022,0.065363419,0.160838061
MX-US,MX,Latin America & Caribbean,Upper middle,US,North America,High,82026,10119,37635,3710,18848,1675,0.088868846,63178,2035,0.03221058,2.758995539,0.045229561,0.366637019,0.500810416
IR-CA,IR,Middle East & North Africa,Lower middle,CA,North America,High,155232,20341,59089,3647,11553,657,0.056868346,143679,2990,0.020810278,2.732704705,0.023493867,0.179293053,0.195518624
BE-US,BE,Europe & Central Asia,High,US,North America,High,83707,19098,54184,3640,19188,1579,0.082291015,64519,2061,0.031944078,2.576096075,0.043485013,0.190595874,0.354126679
FR-BE,FR,Europe & Central Asia,High,BE,Europe & Central Asia,High,376508,76371,193058,3567,29316,977,0.033326511,347192,2590,0.007459849,4.467450984,0.009473902,0.04670621,0.151850739
UK-CH,UK,Europe & Central Asia,High,CH,Europe & Central Asia,High,620073,107707,294247,3562,32295,970,0.030035609,587778,2592,0.004409828,6.81106108,0.005744485,0.033071202,0.10975473
DE-CA,DE,Europe & Central Asia,High,CA,North America,High,617925,99584,325627,3554,31136,990,0.031795992,586789,2564,0.004369543,7.276730975,0.005751507,0.035688464,0.095618607
JP-UK,JP,East Asia & Pacific,High,UK,Europe & Central Asia,High,931361,62618,201783,3498,27611,1143,0.041396545,903750,2355,0.002605809,15.88625368,0.003755794,0.055862532,0.136835115
US-BE,US,North America,High,BE,Europe & Central Asia,High,2615677,243148,926952,3420,44680,1035,0.023164727,2570997,2385,0.000927656,24.97125513,0.001307501,0.014065507,0.048200986
US-TH,US,North America,High,TH,East Asia & Pacific,Upper middle,2615677,243148,926952,3382,16145,455,0.0281821,2599532,2927,0.001125972,25.02913224,0.001292973,0.013909224,0.017417299
IN-UK,IN,South Asia,Lower middle,UK,Europe & Central Asia,High,437424,50061,117155,3367,18343,670,0.036526195,419081,2697,0.00643551,5.675726527,0.007697337,0.067257945,0.156570356
RU-DE,RU,Europe & Central Asia,Upper middle,DE,Europe & Central Asia,High,267511,19827,85747,3341,25282,1601,0.063325686,242229,1740,0.007183285,8.815699803,0.012489206,0.168507591,0.294844134
UK-ES,UK,Europe & Central Asia,High,ES,Europe & Central Asia,High,620073,107707,294247,3283,39335,1064,0.027049701,580738,2219,0.003821,7.07922011,0.005294538,0.030480842,0.133680207
FR-IT,FR,Europe & Central Asia,High,IT,Europe & Central Asia,High,376508,76371,193058,3282,37396,1178,0.031500695,339112,2104,0.00620444,5.077121564,0.008716946,0.042974427,0.193703447
